title,company,location,salary,type,description,apply_link,created_at
ML Ops / Gen AI Engineer,DataZymes,Ghaziabad IN,Not disclosed,Full-time,"You will be responsible for designing, building, and deploying scalable machine learning and Generative AI systems in production at DataZymes. Your role will involve owning the end-to-end ML lifecycle, from data pipelines and model training to deployment, monitoring, and optimization.

Key Responsibilities:

- Design and implement end-to-end ML pipelines
- Build scalable feature engineering workflows
- Implement CI/CD workflows for ML models
- Manage model versioning and experiment tracking
- De...",https://www.shine.com/jobs/ml-ops-gen-ai-engineer/datazymes/19018817,2026-05-02 02:09:12
"Analytics Lead, Large Customer Sales",Google,None IN,Not disclosed,Full-time,"Minimum qualifications:

• Bachelor's degree or equivalent practical experience.

• 5 years of experience in media analytics, advertising sales, digital media and marketing, consulting, or financial analysis.

Preferred qualifications:

• 1 year of experience with marketing measurement and attribution techniques (e.g., offline measurement, MMM, MTA, attribution) and Google advertising products (e.g., Google Ads, Google Analytics, Google Marketing Platform, etc).

• 1 year of client-facing experi...","https://www.glassdoor.co.in/job-listing/analytics-lead-large-customer-sales-google-JV_KO0,35_KE36,42.htm?jl=1010111488618",2026-05-02 01:45:06
"Application Engineer, Salesforce",Google India,Secunderabad IN,Not disclosed,Full-time,"Minimum qualifications:

• Bachelor's degree in Computer Science, Management Information Systems, or other technical field, or equivalent practical experience.
• Experience with APEX and Visualforce development.
• Experience in design and development with Salesforce API.

Preferred qualifications:

• Certified Salesforce Platform Developer (I or II).
• Experience designing and developing solutions for a business domain such as supply chain, sales, finance, etc.
• CRM domain knowledge with releva...",https://www.foundit.in/job/application-engineer-salesforce-google-india-hyderabad-secunderabad-telangana-48620491,2026-05-02 01:45:06
Account Manager - Large Customer Digital Advertising Sales,Google India Pvt Ltd,Gurugram IN,Not disclosed,Full-time,"Account Manager, Large Customer Sales Minimum qualifications: Bachelor's degree or equivalent practical experience. 5 years of experience in digital advertising, consultative sales, digital media sales, business development, online media environment, or digital marketing role. Ability to travel for client meetings and training, as needed. Preferred qualifications: Bachelor's degree or equivalent practical experience. 5 years of experience working in advertising sales, marketing, or media. Experi...",https://apna.co/job/gurgaon/account-manager-large-customer-sales-1878307753,2026-05-02 01:45:06
Senior Silicon SoC Design for DFT (Design for Testability) Lead,Google India Pvt Ltd,Bengaluru IN,Not disclosed,Full-time,"Silicon SoC DFT Design lead, Google cloud Minimum qualifications: Bachelor's degree in Electrical Engineering, a related field, or equivalent practical experience. 8 years of experience in DFT domain. 8 years of experience using electronic design automation (EDA) test tools (e.g., Spyglass, Tessent, Synopsys). Experience with ASIC DFT synthesis, STA, simulation, and verification flow. Experience working with ATE engineers (e.g., silicon bring-up, patterns generation, debug, validation on automat...",https://apna.co/job/bengaluru/silicon-soc-dft-design-lead-google-cloud-1328129087,2026-05-02 01:45:06
Accordion India - Director - Data & Analytics Consulting,Accordion India,Dindigul IN,Not disclosed,Internship,"Company overview

Accordion is a global financial consulting and technology firm helping CFOs and their teams drive value creation. Rooted in private equity rigor and powered by data, analytics, and AI, we partner with companies across industries to turn insight into impact.

Accordion works at the intersection of Private Equity sponsors and portfolio companies’ management teams across every stage of the investment lifecycle. We provide hands-on, execution-oriented support, driving value through...",https://bebee.com/in/jobs/accordion-india-director-data-analytics-consulting-accordion-india-dindigul--talent-57ded109cf7b,2026-05-02 01:45:06
Lead Software Engineer - Python & Angular,Clarivate,Bengaluru IN,Not disclosed,Full-time,"We are looking for a Lead Software Engineer – Python to join our Technology team at Clarivate. You will get the opportunity to work in a cross-cultural work environment while working on the latest web technologies with an emphasis on user-centered design.

About You – Experience, Education, Skills, and Accomplishments
• Bachelor's Degree in Computer Science or equivalent experience.

• Minimum 5 years of professional experience in Python/Django development.

• Hands-on experience with Angular or...",https://careers.clarivate.com/job/JREQ135488/Lead-Software-Engineer-Python-Angular,2026-05-02 01:45:06
ES Data Analytics Advisor,ExxonMobil India Careers,Bengaluru IN,Not disclosed,Full-time,"About Us
At ExxonMobil, our vision is to lead in energy innovations that advance modern living and a net-zero future. As one of the world’s largest publicly traded energy and chemical companies, we are powered by a unique and diverse workforce fueled by the pride in what we do and what we stand for.

The success of our Upstream, Product Solutions and Low Carbon Solutions businesses is the result of the talent, curiosity and drive of our people. They bring solutions every day to optimize our stra...",https://in.linkedin.com/jobs/view/es-data-analytics-advisor-at-exxonmobil-india-careers-4407186943,2026-05-02 01:45:06
Accordion India - Manager - Data & Analytics Consulting,Accordion India,Thiruvananthapuram IN,Not disclosed,Internship,"Company overview

Accordion is a global financial consulting and technology firm helping CFOs and their teams drive value creation. Rooted in private equity rigor and powered by data, analytics, and AI, we partner with companies across industries to turn insight into impact.

Accordion works at the intersection of Private Equity sponsors and portfolio companies management teams across every stage of the investment lifecycle. We provide hands-on, execution-oriented support, driving value through ...",https://bebee.com/in/jobs/accordion-india-manager-data-analytics-consulting-accordion-india-thiruvananthapuram--talent-bd53478a41de,2026-05-02 01:45:06
"Engineer Lead , Artificial Intelligence / Machine Learning",FIS Global,Pune IN,Not disclosed,Full-time,"Position Type :
Full time

Type Of Hire :
Experienced (relevant combo of work and education)

Are you curious, motivated, and forward-thinking? At FIS you’ll have the opportunity to work on some of the most challenging and relevant issues in financial services and technology. Our talented people empower us, and we believe in being part of a team that is open, collaborative, entrepreneurial, passionate and above all fun.

About the team

The Client OFfice AI/ML CoE team is a horizontal CoE for Cl...",https://careers.fisglobal.com/us/en/job/FIGLUSJR0305561EXTERNAL/Engineer-Lead-Artificial-Intelligence-Machine-Learning,2026-05-02 01:45:06
